epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,73.6863,1.62111,2.52854,1.90322,0.46229,0.61771,0.64595,0.28743,1.85238,2.27461,2.12496,0.00111776,0.00111776,0.00111776
13,79.5948,1.59189,2.48495,1.89643,0.47229,0.36028,0.4641,0.17298,1.93209,1.97688,2.23729,0.00108947,0.00108947,0.00108947
14,85.5017,1.59561,2.4561,1.87083,0.49831,0.26923,0.40644,0.23441,1.7875,2.10761,1.908,0.00106118,0.00106118,0.00106118
15,91.4098,1.6184,2.35831,1.88039,0.98111,0.422,0.57976,0.2449,1.8398,2.25313,2.03743,0.00103288,0.00103288,0.00103288
16,97.3062,1.50096,2.29263,1.8347,0.6545,0.67949,0.79128,0.37011,1.67577,1.8532,1.94212,0.00100459,0.00100459,0.00100459
17,103.235,1.57703,2.29966,1.83651,0.94139,0.50973,0.6163,0.32936,1.5483,1.63148,1.89976,0.000976293,0.000976293,0.000976293
18,109.144,1.59899,2.2545,1.82043,0.97516,0.42857,0.62346,0.23701,1.72613,1.82746,1.92831,0.000947999,0.000947999,0.000947999
19,115.049,1.48949,2.16645,1.76067,0.91308,0.47898,0.55558,0.22072,1.60728,1.96743,1.90121,0.000919704,0.000919704,0.000919704
20,120.956,1.51593,2.12826,1.76009,0.82462,0.42801,0.43524,0.22047,1.7333,1.75272,2.00258,0.00089141,0.00089141,0.00089141
21,126.855,1.4922,2.06318,1.74605,0.52382,0.66343,0.75816,0.41808,1.58259,1.67308,1.88042,0.000863116,0.000863116,0.000863116
22,132.75,1.48273,1.9945,1.77279,0.60548,0.67393,0.72233,0.38839,1.55788,1.80528,1.82017,0.000834822,0.000834822,0.000834822
23,138.626,1.4573,1.96894,1.75979,0.67473,0.63715,0.74933,0.33121,1.59438,1.58788,1.87745,0.000806528,0.000806528,0.000806528
24,144.497,1.44662,1.88795,1.70984,0.4206,0.48718,0.55246,0.30319,1.65074,1.5677,1.92587,0.000778233,0.000778233,0.000778233
25,150.378,1.39287,1.86111,1.67404,0.4576,0.66453,0.58824,0.32216,1.54599,1.60456,1.84798,0.000749939,0.000749939,0.000749939
26,156.249,1.39491,1.92249,1.69147,0.73432,0.46154,0.57642,0.38532,1.74348,1.81799,2.08185,0.000721645,0.000721645,0.000721645
27,162.123,1.44226,1.86787,1.7009,0.89037,0.62187,0.80022,0.36742,1.71201,1.69343,2.05231,0.000693351,0.000693351,0.000693351
28,167.994,1.32608,1.78012,1.61875,0.77712,0.62821,0.79327,0.31926,1.5892,1.55581,1.77018,0.000665057,0.000665057,0.000665057
29,173.879,1.34557,1.75185,1.59642,0.73098,0.70513,0.78017,0.41131,1.64431,1.45501,1.84072,0.000636762,0.000636762,0.000636762
30,179.759,1.36793,1.75919,1.66149,0.93922,0.63339,0.83441,0.45111,1.55234,1.41956,1.84906,0.000608468,0.000608468,0.000608468
31,185.658,1.35432,1.73548,1.65556,0.48735,0.73077,0.6185,0.31032,1.63495,1.59923,1.95323,0.000580174,0.000580174,0.000580174
32,191.537,1.30948,1.68653,1.6246,0.48216,0.65776,0.46461,0.27992,1.65056,1.70294,1.85771,0.00055188,0.00055188,0.00055188
33,197.504,1.28399,1.62438,1.56377,0.72842,0.45714,0.71608,0.38966,1.57743,1.38576,1.79626,0.000523586,0.000523586,0.000523586
34,203.618,1.21302,1.54828,1.55386,0.56466,0.70513,0.72258,0.3972,1.55607,1.51479,1.783,0.000495291,0.000495291,0.000495291
35,209.58,1.26066,1.54832,1.54276,0.68144,0.70159,0.72588,0.39423,1.60431,1.35625,1.79383,0.000466997,0.000466997,0.000466997
36,215.462,1.26161,1.55848,1.56795,0.91311,0.63823,0.82506,0.42362,1.64853,1.48683,1.9055,0.000438703,0.000438703,0.000438703
37,221.359,1.19449,1.46867,1.53919,0.66337,0.74157,0.84156,0.40164,1.65664,1.43418,1.92433,0.000410409,0.000410409,0.000410409
38,227.244,1.16895,1.41806,1.50862,0.84186,0.70365,0.7966,0.42234,1.63411,1.32248,1.84646,0.000382115,0.000382115,0.000382115
39,233.208,1.23191,1.51981,1.54613,0.6536,0.69792,0.77608,0.42707,1.57637,1.45035,1.80787,0.00035382,0.00035382,0.00035382
40,239.375,1.16403,1.36904,1.48582,0.73271,0.71451,0.6717,0.31305,1.65351,1.3694,1.87207,0.000325526,0.000325526,0.000325526
41,247.645,1.27877,1.53515,1.64773,0.60103,0.75641,0.78324,0.36807,1.58206,1.46621,1.85894,0.000297232,0.000297232,0.000297232
42,253.483,1.24359,1.39939,1.59586,0.56116,0.77338,0.73595,0.45185,1.59213,1.47789,1.76559,0.000268938,0.000268938,0.000268938
43,259.363,1.17302,1.33531,1.55639,0.91824,0.59716,0.82032,0.42998,1.60019,1.49419,1.8119,0.000240644,0.000240644,0.000240644
44,265.179,1.14311,1.27658,1.5557,0.7378,0.70513,0.78796,0.50118,1.55622,1.38201,1.76791,0.000212349,0.000212349,0.000212349
45,271.035,1.14823,1.20803,1.52097,0.80152,0.65936,0.7822,0.44748,1.62177,1.39348,1.8466,0.000184055,0.000184055,0.000184055
46,276.939,1.07196,1.15664,1.45543,0.82626,0.82665,0.87247,0.46359,1.62563,1.41833,1.90309,0.000155761,0.000155761,0.000155761
47,282.781,1.09606,1.18407,1.47989,0.77312,0.86554,0.91691,0.48575,1.62841,1.41547,1.89972,0.000127467,0.000127467,0.000127467
48,288.599,1.04481,1.18294,1.47278,0.79141,0.67949,0.88732,0.45096,1.66053,1.33363,1.94449,9.91726e-05,9.91726e-05,9.91726e-05
49,294.441,1.02234,1.09848,1.43211,0.74342,0.93521,0.95175,0.471,1.61294,1.38977,1.88193,7.08784e-05,7.08784e-05,7.08784e-05
50,300.267,1.04929,1.10503,1.446,0.86225,0.65082,0.89654,0.45046,1.62894,1.34777,1.89709,4.25842e-05,4.25842e-05,4.25842e-05
1,13.0973,2.01021,4.6152,2.20401,0.00416,0.79487,0.13214,0.05952,1.60846,4.15332,1.6958,0.000361516,0.000361516,0.000361516
2,26.6723,1.79324,4.00026,2.05449,0.01272,0.92308,0.11414,0.04458,2.01136,3.51387,2.08256,0.000717359,0.000717359,0.000717359
3,34.856,1.80946,3.73553,2.01165,0.91496,0.16667,0.27529,0.08554,2.03608,3.5768,2.14116,0.00105854,0.00105854,0.00105854
4,41.936,1.79722,3.65106,2.08689,0.33863,0.51282,0.29827,0.13909,1.91513,4.31155,2.12297,0.00104501,0.00104501,0.00104501
5,49.0496,1.77138,3.37996,2.03075,0.43517,0.4616,0.31816,0.15941,1.64011,2.75364,1.88803,0.00102301,0.00102301,0.00102301
6,56.0703,1.72551,3.18424,1.97118,0.3937,0.41904,0.31439,0.13636,1.67761,2.79603,1.8393,0.00100101,0.00100101,0.00100101
7,63.1207,1.75521,3.05898,1.99115,1,0.38208,0.58147,0.21578,1.75702,2.37126,1.96096,0.000979013,0.000979013,0.000979013
8,70.8049,1.72266,2.96502,1.96669,0.82141,0.2705,0.46231,0.22113,1.82748,2.18229,1.95633,0.000957015,0.000957015,0.000957015
9,77.8061,1.67718,2.89831,1.95913,0.53113,0.46744,0.54811,0.21399,1.80409,2.38763,2.07746,0.000935018,0.000935018,0.000935018
10,84.7806,1.64995,2.83447,1.93595,0.64499,0.53846,0.73043,0.4082,1.60456,1.90047,1.89156,0.00091302,0.00091302,0.00091302
11,92.5927,1.63178,2.72821,1.89637,0.65855,0.61489,0.68292,0.44192,1.43763,1.68157,1.77106,0.000891022,0.000891022,0.000891022
12,101.96,1.56391,2.57379,1.84649,0.23051,0.76854,0.52162,0.27826,1.63855,2.10904,1.85245,0.000869024,0.000869024,0.000869024
13,110.282,1.58587,2.5134,1.84583,0.42378,0.4359,0.41697,0.18647,1.63761,2.30897,1.93507,0.000847026,0.000847026,0.000847026
14,117.57,1.56393,2.47158,1.84903,0.77171,0.46051,0.35351,0.16301,1.65524,2.03013,1.80313,0.000825029,0.000825029,0.000825029
15,125.53,1.57084,2.34901,1.81926,0.56323,0.61195,0.74053,0.24069,1.73809,2.04348,1.98437,0.000803031,0.000803031,0.000803031
16,132.855,1.48227,2.2934,1.81573,0.67083,0.67949,0.77,0.34828,1.55746,1.59736,1.77799,0.000781033,0.000781033,0.000781033
17,139.421,1.5186,2.33157,1.79887,0.41583,0.70513,0.54701,0.22728,1.5786,1.80116,1.82128,0.000759035,0.000759035,0.000759035
18,145.898,1.53563,2.21737,1.7805,0.90939,0.63869,0.77658,0.38006,1.67717,1.66114,1.83943,0.000737037,0.000737037,0.000737037
19,152.245,1.44989,2.1193,1.72671,0.54501,0.82051,0.65252,0.26705,1.79024,1.96576,2.02,0.00071504,0.00071504,0.00071504
20,158.528,1.44696,2.10508,1.724,0.2657,0.54293,0.42449,0.25978,1.71042,2.16839,1.92908,0.000693042,0.000693042,0.000693042
21,164.715,1.41949,2.02965,1.71132,0.63829,0.67949,0.75043,0.31436,1.57992,1.60829,1.79814,0.000671044,0.000671044,0.000671044
22,170.872,1.38885,1.90647,1.68681,0.46407,0.67905,0.59568,0.35787,1.57444,1.52316,1.80382,0.000649046,0.000649046,0.000649046
23,177.089,1.36307,1.88866,1.6832,0.56042,0.73801,0.69571,0.38758,1.66343,1.41781,1.74946,0.000627048,0.000627048,0.000627048
24,183.418,1.3392,1.81378,1.6319,0.86924,0.62821,0.74168,0.40123,1.58927,1.56534,1.77919,0.000605051,0.000605051,0.000605051
